Record_ID;Date;Cocoa_Roasting_Level;Sugar_Granularity;Milk_Solid_Percentage;Nuts_Inclusion_Rate;Texture_Smoothness;Sweetness_Level;Cocoa_Source_Check;Flavor_Infusion;Shelf_Life_Test;Seal_Integrity;Barcode_Scan_Success;Box_Dimensions;Label_Readability;Nutritional_Info_Accuracy;Chocolate_Glossiness;Status
WX1;07.08.2023;5,163574505;0,07;0,647463665;0,141156815;1821,319636;55740,59645;1,075330079;1,262623362;159,5459199;0,986545831;0,977265908;5,112267385;80,06945999;1293,963757;0,898881859;Okay
WX2;04.08.2023;2,957405898;0,07;0,601180098;0,279975881;1762,070866;55333,46311;0,856113672;1,501980217;151,6803038;0,987549629;0,983469892;5,088392756;80,9716755;310,202915;0,804590017;Okay
WX3;05.08.2023;0,071302014;0,05;0,443866945;0,383971997;1520,03438;55149,53829;0,962238803;1,297385119;164,36938;0,888993014;0,980306854;5,026649551;79,1154479;-1013,212906;0,904514459;Okay
WX4;07.08.2023;2,237458326;0,08;0,508690093;0,842571283;1500,305535;55428,80619;1,132808444;1,05327082;176,2085911;0,851913012;0,97906499;5,150749871;81,68573961;1137,751886;0,824946375;Okay
WX5;03.08.2023;0,765161799;0,06;0,441458034;0,598622568;1710,83964;55045,09769;0,835508833;1,892861493;164,4311177;0,710080061;0,985356593;5,116763392;79,59535666;654,3423936;0,908750023;Okay
WX6;05.08.2023;0,37462855;0,08;0,688936412;0,503402924;1549,285079;55709,37626;1,201675203;1,249841623;150,0488529;0,989927037;0,982436275;5,006067246;78,54995924;994,3553906;0,850950334;Okay
WX7;05.08.2023;2,637340099;0,05;0,427712127;0,252658763;1866,330535;55080,19237;0,746515906;1,072780502;173,8622726;0,991357939;0,959413844;5,029576592;77,03720169;1826,912314;0,836281281;Okay
WX8;07.08.2023;0,273732807;0,08;0,488097173;0,546282416;1701,925357;55054,87467;1,048730667;1,422334407;153,8704676;0,922968739;0,995503355;5,045972607;77,48515777;942,4873021;0,881745532;Okay
WX9;02.08.2023;3,678924766;0,05;0,536392664;0,84320764;1598,466464;55419,70098;0,927812071;1,804400306;154,936203;0,70867542;0,974059269;5,155502793;80,99772792;2450,960152;0,890104227;Okay
WX10;03.08.2023;0,287744019;0,06;0,550571945;0,553047444;1570,646051;55587,0744;0,731988041;1,16844818;157,0132283;0,93882542;0,97959233;5,189849311;79,08427768;808,0304825;0,818514365;Okay
WX11;07.08.2023;1,188871861;0,08;0,567457914;0,231819246;1851,0245;55763,89766;1,164692128;1,436893294;155,8293186;0,868585248;0,985180786;5,167839884;79,25710386;1554,139983;0,87941691;Okay
WX12;03.08.2023;0,315532559;0,06;0,580096655;22;1801,870279;55070,96117;1,027925105;1,185524794;171,499687;0,991472365;0,992339204;5,152150196;80,31267178;1431,548216;0,879689138;Okay
WX13;03.08.2023;0,986160668;0,05;0,569286006;0,499086068;1801,544365;55334,81975;1,129195495;1,818117676;178,2205077;0,904626374;0,983380135;5,065439;77,28288494;107,9618136;0,813076999;Okay
WX14;05.08.2023;1,439917957;0,07;0,456702631;0,355644211;1535,828834;55268,56584;0,928073915;1,522840592;153,5123234;0,986772655;0,961866275;5,083756451;77,68406595;633,5324166;0,81847995;Okay
WX15;04.08.2023;0,263753084;0,07;0,445364088;0,502700906;1762,297476;55743,75839;1,215772217;1,578373548;161,7002051;0,731263234;0,990197863;5,171030982;80,50572167;382,8825382;0,813947526;Okay
WX16;03.08.2023;0,919770326;0,07;0,503822987;0,310952636;1865,182685;55369,42598;0,750223906;1,747548567;168,0427669;0,92675379;0,986551484;5,100633679;80,78645911;1732,560365;0,831742607;Okay
WX17;06.08.2023;0,791382221;0,05;0,444830133;0,124298534;1821,678264;55627,85386;0,840012063;1,939703433;164,1789894;0,964817308;0,99844283;5,167349361;80,16992386;170,4108631;0,900284;Okay
WX18;05.08.2023;0,092108528;0,07;0,434228186;0,811617031;1549,625808;55489,3783;1,17676189;1,10579893;160,4737104;0,890786583;0,981995899;5,122467769;80,8924935;-202,9595859;0,892908339;Okay
WX19;02.08.2023;2,131801662;0,06;0,457806128;0,443099545;1898,697335;55569,65839;1,272807553;1,845553569;156,7069667;0,862380061;0,981207144;5,092085394;81,35699;2184,320895;0,846664845;Okay
